NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,6.027984800006379,None,6.027984800006379,None,6.998074500006624,None,10.048677400001907,None,1,0.8036179000046104,10.048677400001907,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,10.93119130001287,None,2,0.030599199992138892,10.93119130001287,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,11.041885900005582,None,3,0.04417520000424702,11.041885900005582,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,11.160165400011465,None,1,0.08263609999266919,11.160165400011465,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,11.312968800004455,None,2,0.04008750000502914,11.312968800004455,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,11.42409050000424,None,3,0.019364599997061305,11.42409050000424,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,11.521324000001187,None,1,0.05064669999410398,11.521324000001187,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,11.646339600003557,None,3,0.15039110000361688,11.646339600003557,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,11.903127300000051,None,2,0.14341429999331012,11.903127300000051,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,12.118344200003776,None,3,0.9437445999938063,12.118344200003776,None,,,,,,,,,,,,,,,001,2021_Nov_15_1757,TMTAB,2021.2.3,143.17437635861228,
