NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,,,,,16.735632600000827,None,2,0.18625380000048608,16.735632600000827,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,,,,,17.01917289999983,None,3,0.03790629999821249,17.01917289999983,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,,,,,17.152783200001068,None,1,0.11477020000165794,17.152783200001068,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,,,,,17.352685900001234,None,2,0.36864430000059656,17.352685900001234,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,,,,,17.819408100000146,None,3,0.01620280000133789,17.819408100000146,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,,,,,17.919448000000557,None,1,0.11853440000049886,17.919448000000557,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,,,,,18.136305800000628,None,3,0.08459310000034748,18.136305800000628,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,,,,,18.286744200000612,None,2,0.19250500000089232,18.286744200000612,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,,,,,18.569793800001207,None,3,0.025337500001114677,18.569793800001207,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,,,,,18.670743100001346,None,1,0.04834669999945618,18.670743100001346,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
