NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,6.35541529999864,None,6.35541529999864,None,8.025318299998617,None,11.126758399999744,None,1,0.46493420000115293,11.126758399999744,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.678032799998618,None,2,0.03358229999867035,11.678032799998618,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,11.795225899999423,None,3,0.31771000000117056,11.795225899999423,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,12.228397099999711,None,1,0.016648999999233638,12.228397099999711,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,12.327993900000365,None,2,0.01760189999913564,12.327993900000365,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,12.428107800000362,None,3,0.317409499999485,12.428107800000362,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,12.844987099999344,None,1,0.0460081999990507,12.844987099999344,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,12.97842159999891,None,3,0.10802239999975427,12.97842159999891,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,13.195146699999896,None,2,0.48947660000158066,13.195146699999896,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,13.81216779999886,None,3,0.6155200000011973,13.81216779999886,None,,,,,,,,,,,,,,,001,2021_Nov_16_1856,TMTAB,2021.2.3,59.649819767962875,
