NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,6.198086299998977,None,6.198086299998977,None,6.86995780000143,None,9.920347100000072,None,1,0.9632108000005246,9.920347100000072,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,10.961998300001142,None,2,0.5882835000011255,10.961998300001142,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,11.622206399995775,None,3,0.4290748000057647,11.622206399995775,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,12.12920469999517,None,1,0.9666147999960231,12.12920469999517,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,13.205417799996212,None,2,0.4250553000019863,13.205417799996212,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,13.733329599999706,None,3,0.5355475999967894,13.733329599999706,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,14.351120999999694,None,1,0.10973329999978887,14.351120999999694,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,14.538861100001668,None,3,0.13117500000225846,14.538861100001668,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,14.768157300000894,None,2,0.26428239999950165,14.768157300000894,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,15.108061399994767,None,3,0.35406679999869084,15.108061399994767,None,,,,,,,,,,,,,,,001,2021_Nov_15_1359,TMTAB,2021.2.3,144.2374956925564,
